45.12466,19.18709,6.51903,4.09439,5.91482,11.40200,16.77443,13.93500,10.38041,6.22003,5.90855,6.03399,6.49007,4.39994,3.85642
19.18709,119.39419,21.32796,5.95683,4.25551,9.40291,15.14165,17.06215,14.64397,7.11883,7.23482,5.75884,5.35099,5.44007,4.44532
6.51903,21.32796,157.13189,25.18100,5.73682,5.28089,9.45535,13.24229,16.95900,11.09985,8.94299,5.20229,4.51118,3.93906,4.80425
4.09439,5.95683,25.18100,152.93086,24.53145,10.33991,7.96285,10.17697,14.62978,18.64084,11.06104,6.94699,4.46303,3.29377,3.94017
5.91482,4.25551,5.73682,24.53145,58.40697,28.02262,16.25608,12.42671,13.48995,14.76069,14.36927,8.92779,6.39439,4.45687,3.69918
11.40200,9.40291,5.28089,10.33991,28.02262,37.84193,23.83171,17.22716,14.18315,14.14838,17.23554,12.49318,10.26551,7.97291,4.46890
16.77443,15.14165,9.45535,7.96285,16.25608,23.83171,33.34541,24.74399,19.29682,15.16321,13.93031,13.10958,13.88901,9.29342,4.55607
13.93500,17.06215,13.24229,10.17697,12.42671,17.22716,24.74399,31.83552,23.02513,17.39589,14.42532,11.11191,13.60491,12.11884,5.21522
10.38041,14.64397,16.95900,14.62978,13.48995,14.18315,19.29682,23.02513,27.48067,20.39452,16.29396,11.74783,12.20795,11.39155,6.65981
6.22003,7.11883,11.09985,18.64084,14.76069,14.14838,15.16321,17.39589,20.39452,25.36711,18.67454,12.69722,10.11941,7.49390,7.86287
5.90855,7.23482,8.94299,11.06104,14.36927,17.23554,13.93031,14.42532,16.29396,18.67454,21.33962,17.56092,11.83886,8.19236,7.65461
6.03399,5.75884,5.20229,6.94699,8.92779,12.49318,13.10958,11.11191,11.74783,12.69722,17.56092,24.43344,17.23700,10.94418,7.83309
6.49007,5.35099,4.51118,4.46303,6.39439,10.26551,13.88901,13.60491,12.20795,10.11941,11.83886,17.23700,22.69580,15.86240,11.56431
4.39994,5.44007,3.93906,3.29377,4.45687,7.97291,9.29342,12.11884,11.39155,7.49390,8.19236,10.94418,15.86240,19.12601,13.87788
3.85642,4.44532,4.80425,3.94017,3.69918,4.46890,4.55607,5.21522,6.65981,7.86287,7.65461,7.83309,11.56431,13.87788,13.22675
